seq_id,datetime,AHU,CHW_VALVE,CHW_VALVE_POSIT,DIS_AIR_TEMP,DUCT_PRESS_ACTV,MAX_CO2_VAL,MIXED_AIR_TEMP,RTRN_AIR_TEMP,SUPPL_FAN_SP
22556,08JAN15:08:45:00,AHU_5_1,40.935,33.657,61.1989,0.8069,573.6057,73.8902,75.2763,16.71
22557,08JAN15:09:00:00,AHU_5_1,41.81,46.8994,59.0927,0.8149,659.0546,73.0801,75.0063,16.71
22558,08JAN15:09:15:00,AHU_5_1,31.075,33.5268,59.3627,0.8109,654.7821,73.1701,74.3582,16.71
22559,08JAN15:09:30:00,AHU_5_1,45.105,43.8167,60.4609,0.823,693.8445,73.4402,73.9982,16.71
22560,08JAN15:09:45:00,AHU_5_1,36.975,38.954,59.2727,0.7748,1004.513,73.6202,73.5302,18.6
22561,08JAN15:10:00:00,AHU_5_1,49.81,46.0744,60.7309,0.7909,1036.861,75.3663,73.3501,18.6
22562,08JAN15:10:15:00,AHU_5_1,44.84,37.6514,60.6409,0.7949,1173.58,75.6364,73.2601,18.6
22563,08JAN15:10:30:00,AHU_5_1,38.11,47.6375,59.1827,0.823,1151.607,75.6364,73.3501,18.6
22564,08JAN15:10:45:00,AHU_5_1,38.11,39.2579,60.1908,0.835,1194.331,73.9982,73.6202,18.35
22565,08JAN15:11:00:00,AHU_5_1,36.86,36.7397,60.2808,0.8189,1070.43,72.432,73.8002,18.145
22566,08JAN15:11:15:00,AHU_5_1,34.005,40.6907,59.4528,0.7989,1106.441,71.1539,73.7102,17.785
22567,08JAN15:11:30:00,AHU_5_1,32.745,40.2131,59.2727,0.7909,1130.855,70.5058,73.6202,17.785
22568,08JAN15:11:45:00,AHU_5_1,34.065,42.905,59.2727,0.7868,1135.738,70.4159,73.6202,18.28
22569,08JAN15:12:00:00,AHU_5_1,44.59,34.0478,61.1989,0.7909,1042.965,70.2358,73.8002,18.28
22570,08JAN15:12:15:00,AHU_5_1,39.915,31.1388,60.5509,0.7949,828.1216,70.2358,73.7102,18.815
22571,08JAN15:12:30:00,AHU_5_1,32.65,43.2089,59.0027,0.8189,999.0196,70.2358,73.5302,18.815
22572,08JAN15:12:45:00,AHU_5_1,44.765,37.4344,60.7309,0.8189,969.7228,70.0558,73.5302,18.815
22573,08JAN15:13:00:00,AHU_5_1,37.81,33.1795,60.4609,0.8149,961.1779,69.9478,73.6202,18.815
22574,08JAN15:13:15:00,AHU_5_1,32.58,44.2075,58.8227,0.8029,1197.383,69.9478,73.7102,18.815
